modelo,entrada,velocidades,camadas internas,num neuronios internos,funcao de ativacao
m1,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax","15, 20, 25, 30, 35, 40",1,3,relu
m2,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax","15, 20, 25, 30, 35, 40",1,5,relu
m3,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax","15, 20, 25, 30, 35, 40",2,3,relu
m4,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax","15, 20, 25, 30, 35, 40",2,5,relu
m5,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax, L_x , LCG, VCG ","15, 20, 25, 30, 35, 40",1,5,relu
m6,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax, L_x , LCG, VCG ","15, 20, 25, 30, 35, 40",1,7,relu
m7,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax, L_x , LCG, VCG ","15, 20, 25, 30, 35, 40",2,5,relu
m8,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax, L_x , LCG, VCG ","15, 20, 25, 30, 35, 40",2,7,relu
m9,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax, L_x , LCG, VCG, D, LOA, LWL/B, Tmax[m]","15, 20, 25, 30, 35, 40",1,7,relu
m10,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax, L_x , LCG, VCG, D, LOA, LWL/B, Tmax[m]","15, 20, 25, 30, 35, 40",1,9,relu
m11,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax, L_x , LCG, VCG, D, LOA, LWL/B, Tmax[m]","15, 20, 25, 30, 35, 40",2,7,relu
m12,"Deslocamento Total,  LWL, β  (popa= aft), βx (amid), Bmax, L_x , LCG, VCG, D, LOA, LWL/B, Tmax[m]","15, 20, 25, 30, 35, 40",2,9,relu
